"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus4.nlogox"
"baseline_auto"
"04/13/2026 13:15:27:364 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","vaccination-rate","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","strategy-mode","high-risk-share","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"4","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","250","0","0","1","250","8760","0","1400"
"3","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","37","100","326","500","8760","37","1400"
"7","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","42","118","309","500","8760","31","1372"
"2","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","38","99","323","500","8760","40","1388"
"5","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","33","107","320","500","8760","40","1400"
"6","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","36","123","302","500","8760","39","1388"
"10","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","35","99","332","500","8760","34","1400"
"8","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","30","111","320","500","8760","39","1400"
"9","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","42","125","293","500","8760","40","1400"
"1","500","2","5","1","60","1.8","14","50","140","2","1400","8","12","1.6","0","20","8760","0","38","100","320","500","8760","42","1400"
